DATE,Y,YM,M,W,D,YMW,Rain_inches,Wind_Direct,Temp_Atmo,Temp_RawWW,Temp_EffW,WFLow_MDG,Elect_Use_kWh,USD_per_MG,TSS_ER,TSS_EP,TSS_EE,TSS_LOAD_EE,TSS_Removal_lbPday,BOD5_ER,BOD5_EP,BOD5_EE,BOD5_LOAD_EE,BOD5_Remov_lbPday,NH3_ER,NH3_EE,NH3_LOAD_EE,NH3_Remov_lbPday,FECAL_EE,pH_ER,pH_EE,DO_EE,SO2_resid_EE,Cl2_Resid1,Cl2_Resid2,Comments,Sludge_RecyledPlusDeH2O_galx1000,Sludge_WASTED_gal,Sludge_PRIMARY_gal,TSS_EOD1,TSS_EOD2,TSS_EODRS,SettlePercent_HRS_30min_OD1,SettlePercent_HRS_30min_OD2,SVI_Avge_OD2,Vsperc_EOD1,Vsperc_EOD2,Vsperc_ODRS,SlugdeAge_OD1_2,SludgeAge_7dayAVG,FoodtoMass_OD1_2,FoodToMass_7dayAVG,Height_in_OD1,Height_in_OD2,AMPS_OD1,AMPS_OD2,DO_OD1_AM,DO_OD1_PM,DO_OD1_AVG,DO_OD2_AM,DO_OD2_PM,DO_OD2_AVG,NH3_OD1_AM,NH3_OD1_PM,NH3_OD2_AM,NH3_OD2_PM,NH3_OD2_AVG
1/11/09,2009,20091,1,2,,200912,0,NE,48,69,68,3.151,4960,83.61142857,,,,,,,,,,,,,,,,7.4,6.6,6,0,2.433333333,3.125,GB                                  ,876,41969,11250,,,,68,69,,,,,,7.134909509,,0.425107222,18.5,18,81,85,0.3,1.2,0.75,0.3,1.2,0.75,4.8,0.1,6,0.1,2.75
1/12/09,2009,20091,1,3,,200913,0,NE,58,70,70,3.268,6720,109.1229358,,,,,,,,,,,,,,,,7.4,6.3,6.6,0,2.425,2.9,JF                                     ,1060,45690,11250,,,,71,70,,,,,,7.102536429,,0.431386251,18.5,18,80,85,1,1.5,1.25,1,1.5,1.25,4.2,0.1,4.2,0.1,2.15
1/13/09,2009,20091,1,3,,200913,0,NW,50,70,69,2.89,6720,123.4712803,180,86,2.2,53,4285.44228,149,101,3.7,89.2,3502.10778,24,0.22,5.3,573.159828,2,7.4,6.2,6.4,0,2.825,3.175,JF                                      ,912,44179,11250,2400,2520,6200,34,25,120.4365079,0.683,0.685,,,7.393830517,,0.289245831,18.5,18,80,85,1.6,1.4,1.5,1.4,1.3,1.35,3.6,0.1,3.6,0.1,1.85
1/14/09,2009,20091,1,3,,200913,0,NW,56,69,69,2.882,6880,126.85,,,,,,,,,,,,,,,,7.4,6.5,6.3,0,2.766666667,3.116666667,GB / Stop CHL.to Ret Sludge    ,928,40023,11250,,,,23,21,,,,,,7.336923325,,0.275139323,18.5,18,81,84.5,1.6,0.8,1.2,1.4,0.9,1.15,2.4,0.1,2.4,0.1,1.25
1/15/09,2009,20091,1,3,,200913,0,NE,53,69,69,2.77,6240,119.6187726,444,110,2,46.2,10210.9956,241,,3.9,90.1,5477.43678,25,0.62,14.3,563.221884,18,7.5,6.5,6.2,0,2.458333333,2.716666667,GB                                      ,912,42235,11250,1760,2100,6560,22,22,114.8809524,,,,,6.991963011,,0.360863720,18.5,18,104.5,106,0.9,0.7,0.8,0.8,0.8,0.8,2.4,0.1,3.6,0.1,1.55
1/16/09,2009,20091,1,3,,200913,0,NE,42,69,69,2.873,6560,121.3714286,,,,,,,,,,,,,,,,7.4,6.6,6.1,0,2.491666667,2.8,NB,883,41170,11250,,,,23,21,,,,,,7.182842855,,0.356021032,18.5,18,80,85,0.9,1.9,1.4,0.7,1.8,1.25,3.6,0.1,3.6,0.1,1.85
1/17/09,2009,20091,1,3,,200913,0,SE,59,68,69,2.737,6400,124.0291971,,,,,,,,,,,,,,,,7.5,6.4,6.1,0,2.883333333,3.181818182,NB,1099,38899,11250,,,,18,17,,,,,,7.213596133,,0.343496840,18.5,18,80,85,0.7,1,0.85,0.6,1.1,0.85,3.6,0.1,2.4,0.1,1.55
1/18/09,2009,20091,1,3,,200913,0.58,W,64,69,69,3.558,8320,124.0988764,,,,,,,,,,,,,,,,7.3,6.7,6.4,0,2.383333333,2.658333333,NB,979,41265,11250,,,,18,18,,,,,,7.214078463,,0.350343398,18.5,18,80,85,0.7,1.8,1.25,0.5,1.5,1,1.2,0.1,1.2,0.1,0.65
1/19/09,2009,20091,1,4,,200914,0,NW,60,69,66,3.29,5440,87.8006079,,,,,,,,,,,,,,,,7.3,6.6,6.6,0,2.85,3.108333333,JR                                            ,1030,40003,11250,,,,17,17,,,,,,7.254641763,,0.350677377,18.5,18,122.5,123,1.7,1.6,1.65,1.3,1.6,1.45,1.2,0.2,1.2,0.1,0.675
1/20/09,2009,20091,1,4,,200914,0,NE,45,68,64,3.103,6240,106.8851613,388,120,3.8,98.2,9933.1068,346,108,4.6,118.9,8826.5556,27,0.41,10.6,687.45786,2,7.4,6.5,6,0,2.566666667,3.216666667,"JR / Waste 30,000 GPD",919,22993,11250,1780,1780,5620,17,17,95.50561798,0.663,0.655,,,7.523501467,,0.654732524,18.5,18,80,83,1,1.7,1.35,0.9,1.5,1.2,8.4,0.1,8.4,0.1,4.25
1/21/09,2009,20091,1,4,,200914,0,NE,51,68,67,3.145,6240,105.5235669,,,,,,,,,,,,,,,,7.3,6.6,6.3,0,2.9,3.058333333,JF                                         ,917,31631,11250,,,,19,19,,,,,,7.078769077,,0.662758476,18.5,18,80,85,0.4,1.1,0.75,0.5,1,0.75,6.6,0.1,6.6,0.1,3.35
1/22/09,2009,20091,1,4,,200914,0,SW,68,68,68,3.249,6720,109.7944615,360,108,4,108.4,9649.38,309,,4.1,111.1,8264.3145,31,0.5,13.6,826.7025,2,7.4,6.3,6.2,0,2.558333333,2.875,JF,988,20090,11250,2030,1980,6000,16,17,82.33815992,,,,,7.76158353,,0.741086660,18.5,18,80,85,1.5,1.3,1.4,1.3,1.1,1.2,4.3,0.1,3.6,0.1,2.025
1/23/09,2009,20091,1,4,,200914,0,SW,72,69,69,2.662,6880,137.3413534,,,,,,,,,,,,,,,,7.4,6.4,5.9,0,2.783333333,3.325,GB,888,30093,11250,,,,17,17,,,,,,8.297023757,,0.733996537,18.5,18,103.5,106,1.5,0.7,1.1,1.5,0.9,1.2,4.2,0.1,4.2,0.2,2.175
1/24/09,2009,20091,1,4,,200914,0.02,NE,60,69,69,2.623,6560,132.9526718,,,,,,,,,,,,,,,,7.5,6.7,5.8,0,3.108333333,3.375,GB,1008,27699,11250,,,,17,17,,,,,,8.717659927,,0.729945038,18.5,18,103.5,106,0.5,0.9,0.7,0.6,0.9,0.75,4.2,0.1,3.6,0.1,2
1/25/09,2009,20091,1,4,,200914,0,E,55,69,68,2.557,6560,136.06875,,,,,,,,,,,,,,,,7.4,6.5,6,0,2.983333333,3.333333333,GB                                        ,999,44989,11250,,,,20,19,,,,,,8.528429503,,0.696182548,18.5,18,83.5,86,1.2,1.1,1.15,1.2,1.1,1.15,2.4,0.1,2.4,0.1,1.25
1/26/09,2009,20091,1,5,,200915,0,E,73,69,68,2.6,5760,117.6369231,,,,,,,,,,,,,,,,7.5,6.6,6.1,0,2.808333333,3.116666667,NB,910,21682,11250,,,,0,0,,,,,,9.205551327,,0.672886429,18.5,18,80,85,0.8,1.4,1.1,0.6,1.1,0.85,0,0.1,0,0.1,0.05
1/27/09,2009,20091,1,5,,200915,0.04,SE,76,69,68,2.655,6880,137.3413534,260,80,2,44.4,5723.5752,335,116,3.8,84.3,7347.47328,26,0.42,9.3,567.476952,2,7.4,6.6,6.4,0,2.833333333,3.25,NB                                       ,965,27810,11250,2440,2500,7440,28,25,107.3770492,0.656,0.671,,,9.902909837,,0.543510838,18.5,18,80,85,0.7,1.2,0.95,0.6,1,0.8,12,0.1,12,0.1,6.05
1/28/09,2009,20091,1,5,,200915,0.2,E,61,68,67,2.783,6080,116.1323741,,,,,,,,,,,,,,,,7.5,6.6,5.9,0,2.116666667,2.916666667,JR                                      ,916,22164,11250,,,,25,25,,,,,,10.15384071,,0.533471644,18.5,18,122.5,126.5,0.4,0.6,0.5,0.3,0.6,0.45,13.2,0.1,10.8,0.1,6.05
1/29/09,2009,20091,1,5,,200915,0,E,49,68,65,2.643,6400,128.7272727,326,94,2.2,48.4,7129.29888,253,,3.9,85.9,5484.58416,29,0.74,16.3,622.217376,2,7.7,6.7,5.9,0,2.133333333,2.308333333,JR                                     ,934,31208,11250,2440,2640,6520,29,30,116.2444113,,,,,10.78266642,,0.421195890,18.5,18,80,85,0.5,1.3,0.9,0.4,1.2,0.8,7.2,0.1,7.2,0.1,3.65
1/30/09,2009,20091,1,5,,200915,0,NE,57,69,69,2.562,7040,146.025,,,,,,,,,,,,,,,,7.7,6.5,6.4,0,2.633333333,2.841666667,JF,948,30501,11250,,,,28,28,,,,,,10.65600307,,0.418921614,18.5,18,80,85,0.6,1.7,1.15,0.5,1.6,1.05,6,0.1,6,0.1,3.05
1/31/09,2009,20091,1,5,,200915,0,NW,64,70,69,2.509,7200,152.3187251,,,,,,,,,,,,,,,,7.7,6.4,6.1,0,2.7,2.8,JF                        ok RD JR.,1112,29766,11250,,,,29,30,,,,,,10.6723812,,0.416419911,18.5,18,80,85,1.5,1.6,1.55,1.2,1.2,1.2,4.8,0.1,4.8,0.1,2.45
2/1/09,2009,20092,2,1,,200921,0.34,SE,60,69,69,2.51,7200,152.3187251,,,,,,,,,,,,,,,,7.6,6.5,6.2,0,2.783333333,3.016666667,"JF  /  WASTE 30,000 GPD                  ",955,29978,11250,,,,30,30,,,,,,10.57429242,,0.415282773,18.5,18,80,85,1.3,1.6,1.45,1.1,1.3,1.2,3.6,0.1,3.6,0.1,1.85
2/2/09,2009,20092,2,2,,200922,0.08,NE,56,69,69,2.914,6880,125.542268,,,,,,,,,,,,,,,,7.4,6.7,6.4,0,2.881818182,3.109090909,GB                                  ,894,33455,11250,,,,31,30,,,,,,11.09311245,,0.422333028,18.5,18,102.5,106,0.7,0.4,0.55,0.6,0.3,0.45,6,0.1,4.8,0.1,2.75
2/3/09,2009,20092,2,2,,200922,0,NE,61,69,69,2.669,6880,136.8269663,374,107,5,111.3,8216.8182,437,113,3,66.8,9664.2252,28,0.47,10.5,613.032534,2,7.6,6.6,5.9,0,2.866666667,3.333333333,GB                                ,989,26783,11250,2240,2360,6300,35,40,162.8707627,0.683,0.681,,,10.76552183,,0.499355150,18.5,18,101.5,107.5,0.6,0.5,0.55,0.4,0.4,0.4,4.2,0.1,4.8,0.1,2.3
2/4/09,2009,20092,2,2,,200922,0,NE,43,69,69,2.648,7360,147.4777358,,,,,,,,,,,,,,,,7.4,6.6,6.1,0,2.683333333,3.141666667,NB                                      ,890,30742,11250,,,,41,41,,,,,,11.02648884,,0.495861277,18.5,18,80,85,0.7,1.8,1.25,0.5,1.3,0.9,4.8,0.1,5.4,0.1,2.6
2/5/09,2009,20092,2,2,,200922,0,N,59,69,69,2.594,6880,141.0532819,310,128,4.2,90.7,6605.46348,316,,2.4,51.8,6773.94816,30,0.3,6.5,641.53782,2,7.4,6.8,6.5,0.01,2.6,2.875,NB,913,29788,11250,2360,2410,7100,35,44,165.4388494,,,,,10.2706899,,0.557523655,18.5,18,80,85,0.6,1.5,1.05,0.4,1,0.7,12,0.1,10.8,0.1,5.75
2/6/09,2009,20092,2,2,,200922,0,S,68,68,66,2.544,7360,153.8645669,,,,,,,,,,,,,,,,7.4,6.9,6.1,0,2.316666667,2.883333333,JR                                          ,891,30036,11250,,,,53,43,,,,,,9.855364088,,0.556917651,18.5,18,122.5,125,0.6,0.9,0.75,0.6,0.8,0.7,4.8,0.1,4.8,0.1,2.45
2/7/09,2009,20092,2,2,,200922,0,SE,71,69,65,2.55,7040,146.5976471,,,,,,,,,,,,,,,,7.5,6.7,6.9,0,1.990909091,2.809090909,JR,1036,38513,11250,,,,50,47,,,,,,9.555879373,,0.558129659,18.5,18,120,125,1.4,0.9,1.15,1,0.7,0.85,4.2,0.1,4.2,0.1,2.15
2/8/09,2009,20092,2,2,,200922,0,S,76,68,66,2.38,6880,153.4991597,,,,,,,,,,,,,,,,7.4,6.7,6.3,0,2.590909091,2.990909091,JR                                         ,909,42249,11250,,,,52,51,,,,,,9.1265009,,0.554190633,18.5,18,102,104,1.1,1.2,1.15,0.9,1.1,1,3.6,0.1,3.6,0.1,1.85
2/9/09,2009,20092,2,3,,200923,0,SE,76,68,69,2.492,6720,143.3060241,,,,,,,,,,,,,,,,7.4,6.4,6.1,0,2.808333333,2.975,JF                                          ,866,29133,11250,,,,47,48,,,,,,9.155003392,,0.541464550,18.5,18,80,85,0.6,0.9,0.75,0.5,0.7,0.6,3.6,0.1,4.8,0.1,2.15
2/10/09,2009,20092,2,3,,200923,0,SW,72,70,69,2.567,7040,145.4568093,348,128,3.8,81.4,7377.51396,324,112,3,64.3,6880.2498,36,0.26,5.6,766.044012,2,7.5,6.5,6.5,0,2.691666667,2.975,JF                                         ,912,29147,11250,2380,2380,6960,31,35,138.6554622,0.672,0.69,,,9.272598718,,0.450611068,18.5,18,80,85,0.8,0.8,0.8,0.7,0.6,0.65,4.8,0.1,4.8,0.1,2.45
2/11/09,2009,20092,2,3,,200923,0.02,SW,71,69,70,2.591,7360,150.8942085,,,,,,,,,,,,,,,,7.4,6.5,5.9,0,2.6,3,GB                                          ,930,28897,11250,,,,35,35,,,,,,9.034459162,,0.449089590,18.5,18,122,126.5,0.5,0.5,0.5,0.5,0.5,0.5,2.4,0.1,2.4,0.2,1.275
2/12/09,2009,20092,2,3,,200923,0,E,74,69,70,2.57,6720,138.8451362,412,106,6.3,135,8695.69266,262,,2.8,60,5555.64096,33,0.82,17.6,689.739684,2,7.6,6.7,5.9,0,2.425,3.008333333,GB,913,25618,11250,2470,2370,7620,50,55,217.2483302,,,,,8.945059655,,0.407738357,18.5,18,100,104,0.1,0.9,0.5,0,0.7,0.35,4.8,0.1,4.8,0.1,2.45
2/13/09,2009,20092,2,3,,200923,0.17,SW,74,69,70,2.802,7040,133.5085714,,,,,,,,,,,,,,,,7.5,6.5,5.8,0,2.058333333,2.575,NB,878,29149,11250,,,,52,51,,,,,,8.879919074,,0.413731120,18.5,18,82.5,82.5,0.3,0.8,0.55,0.2,0.6,0.4,4.8,0.1,4.2,0.1,2.3
2/14/09,2009,20092,2,3,,200923,0.27,NE,68,69,69,3.531,7360,110.7127479,,,,,,,,,,,,,,,,7.3,6.4,5.7,0,2.981818182,3.236363636,NB,1945,29528,11250,,,,27,42,,,,,,8.874008218,,0.436319226,18.5,18,80,85,0.1,0.5,0.3,0,0.4,0.2,2.4,0.1,2.4,0.1,1.25
2/15/09,2009,20092,2,3,,200923,0.66,NE,58,67,67,4.253,7360,91.95670588,,,,,,,,,,,,,,,,7.3,6.9,6,0,1.8,3.1,NB                                           ,3215,30771,11250,,,,40,35,,,,,,9.097582566,,0.479421020,18.5,18,102,108,0.8,2,1.4,0.7,1.4,1.05,3.6,0.1,3.6,0.1,1.85
2/16/09,2009,20092,2,4,,200924,0,NE,56,68,66,3.094,7520,129.2271845,,,,,,,,,,,,,,,,7.3,6.7,6.4,0.01,2.658333333,3.158333333,JR                                           ,3426,32296,11250,,,,36,42,,,,,,9.440385064,,0.493250472,18.5,18,101,105,1.2,1.1,1.15,0.7,0.8,0.75,2.4,0.12,1.2,0.1,0.955
2/17/09,2009,20092,2,4,,200924,0,S,65,69,66,2.91,7200,131.3814433,396,104,5.4,131.1,9479.62764,168,89,3.4,82.5,3994.74324,35,0.22,5.3,844.089732,2,7.4,6.4,6.4,0.01,3.254545455,3.127272727,JR                                           ,2017,32497,11250,2640,2580,4900,48,39,166.4904863,0.672,0.684,,,10.64664639,,0.352431555,18.5,18,104,106.5,0.8,1.3,1.05,0.5,0.9,0.7,3.6,0.1,2.4,0.1,1.55
2/18/09,2009,20092,2,4,,200924,0.05,SW,70,70,70,3.016,7200,126.5960265,,,,,,,,,,,,,,,,7.4,6.5,6.6,0,2.825,3,JF                                          ,939,29065,11250,,,,50,47,,,,,,11.08468381,,0.359402372,18.5,18,80,85,0.4,0.7,0.55,0.3,0.5,0.4,3.6,0.1,3.6,0.1,1.85
2/19/09,2009,20092,2,4,,200924,0,NE,63,70,70,2.799,7200,136.5428571,432,96,3.2,74.7,10013.3376,210,,3.6,84.1,4819.8528,30,0.22,5.1,695.42256,2,7.7,6.4,6.3,0,2.458333333,2.866666667,JF                                           ,887,30104,11250,2790,2820,8480,61,55,206.8367269,,,,,10.46286279,,0.296521462,18.5,18,80,85,0.9,1,0.95,0.7,0.8,0.75,3.6,0.1,4.8,0.1,2.15
2/20/09,2009,20092,2,4,,200924,0,NE,61,69,67,2.575,7360,151.4790698,,,,,,,,,,,,,,,,7.4,6.5,6,0.03,3.066666667,3.216666667,JR,905,28484,11250,,,,60,60,,,,,,11.29638467,,0.293609198,18.5,18,106,109.5,0.8,1.5,1.15,0.7,0.9,0.8,3.6,0.1,3.6,0.1,1.85
2/21/09,2009,20092,2,4,,200924,0.15,SW,65,69,68,2.684,6560,129.9761194,,,,,,,,,,,,,,,,7.4,6.7,6.5,0,2.941666667,3.075,JR,999,30500,11250,,,,62,61,,,,,,11.24087231,,0.282357267,18.5,18,80,85,0.6,1.2,0.9,0.4,0.7,0.55,3.6,0.1,3.6,0.2,1.875
2/22/09,2009,20092,2,4,,200924,0,NE,52,68,68,2.542,7520,157.2094488,,,,,,,,,,,,,,,,7.4,6.7,6.5,0,2.875,3.05,JR                                         ,942,30070,11250,,,,57,54,,,,,,11.24496397,,0.259721031,18.5,18,80,85,0.8,1.2,1,0.5,0.8,0.65,2.4,0.1,2.4,0.1,1.25
2/23/09,2009,20092,2,5,,200925,0,NE,56,68,68,2.619,6400,129.7099237,,,,,,,,,,,,,,,,7.6,6.6,6.1,0,2.733333333,2.891666667,NB,825,29347,11250,,,,47,39,,,,,,11.35325599,,0.253499375,18.5,18,80,85,0.5,1.1,0.8,0.2,0.7,0.45,2.4,0.1,2.4,0.1,1.25
2/24/09,2009,20092,2,5,,200925,0,E,67,68,68,2.466,7040,151.345749,284,100,6,123.6,5726.7444,294,106,6.1,125.7,5930.68242,25,0.36,7.4,507.579072,5,7.5,6.7,6,0,2.941666667,3.25,NB                                       ,899,29651,11250,,,,58,60,,0.648,0.645,,,11.40713277,,0.334285395,18.5,18,80,85,0.6,1.3,0.95,0.3,0.7,0.5,1.2,0.1,1.2,0.1,0.65
2/25/09,2009,20092,2,5,,200925,0,S,73,70,68,2.639,6720,135.1636364,,,,,,,,,,,,,,,,7.4,6.6,6.7,0.01,2.408333333,2.816666667,JR                                       ,905,28644,11250,,,,52,55,,,,,,9.624727142,,0.327496061,18.5,18,80,85,0.1,2.1,1.1,0,1,0.5,4.8,0.1,4.8,0.1,2.45
2/26/09,2009,20092,2,5,,200925,0,S,77,70,70,2.65,6880,137.8596226,396,86,2,44.2,8707.794,286,,2,44.2,6276.684,22,0.46,10.2,476.05554,6,7.4,6.8,6,0,2.425,2.85,JR,958,36003,11250,2880,2850,7700,34,38,125.6944444,,,,,9.993138146,,0.365968066,18.5,18,84,85,0.2,1.7,0.95,0.1,0.7,0.4,8.4,0.1,8.4,0.1,4.25
2/27/09,2009,20092,2,5,,200925,0,SW,79,69,70,2.658,7040,140.5353383,,,,,,,,,,,,,,,,7.5,6.6,6.2,0,2.816666667,3.041666667,JF,899,30325,11250,,,,36,40,,,,,,10.55332406,,0.367578486,18.5,18,80,85,0.6,1.4,1,0.5,1,0.75,4.8,0.1,4.8,0.1,2.45
2/28/09,2009,20092,2,5,,200925,0.01,NW,70,70,70,2.603,7520,153.5815385,,,,,,,,,,,,,,,,7.4,6.6,6.2,0,2.666666667,3.075,JF                                          ok RD JR.,986,29219,11250,,,,37,39,,,,,,10.52242665,,0.365968066,18.5,18,80,85,0.7,1.7,1.2,0.6,0.8,0.7,3.6,0.1,4.8,0.1,2.15
3/1/09,2009,20093,3,1,,200931,0,NW,52,68,69,2.451,7200,156.0489796,,,,,,,,,,,,,,,,7.5,6.4,6.1,0,2.816666667,3.175,"JF  /  WASTE 30,000 GPD                  ",881,29798,11250,,,,41,52,,,,,,10.55648834,,0.364156343,18.5,18,80,85,2.7,1.4,2.05,1.3,0.9,1.1,4.8,0.1,4.2,0.1,2.3
3/2/09,2009,20093,3,2,,200932,0,NE,52,68,66,2.52,6880,144.9714286,,,,,,,,,,,,,,,,7.3,6.2,6.3,0,2.975,2.5,GB / Recal. DO Meters on OD's  RD JR.,906,28938,11250,,,,40,49,,,,,,10.60422437,,0.362143317,18.5,18,127.5,127.5,2.5,1.4,1.95,1,1.6,1.3,3.6,0.1,3.6,0.1,1.85
3/3/09,2009,20093,3,2,,200932,0,NE,60,68,66,2.557,6880,142.70625,522,101,3.3,70.5,11074.45248,304,102,3.2,68.3,6422.20032,33,0.45,9.6,694.95552,2,7.3,6.7,6.3,0,3.075,3.416666667,GB                                         ,823,30013,11250,2610,2610,7600,43,48,174.3295019,0.672,0.658,,,10.19539282,,0.376694378,18.5,18,103,105,0.8,1.2,1,0.9,1.2,1.05,3.6,0.1,4.2,0.1,2
3/4/09,2009,20093,3,2,,200932,0,SW,70,68,67,2.5,6880,146.1312,,,,,,,,,,,,,,,,7.3,6.6,6,0,2.616666667,3.091666667,NB                                        ,886,30271,11250,,,,45,45,,,,,,10.29188458,,0.373777497,18.5,18,80,85,0.6,1.3,0.95,0.6,1.2,0.9,4.2,0.1,4.2,0.1,2.15
3/5/09,2009,20093,3,2,,200932,0,SW,73,68,68,2.713,7040,137.9424354,256,99,2.8,63.3,5722.67448,210,,3,67.8,4678.4898,31,0.66,14.9,685.726476,2,7.4,6.7,6.2,0,2.716666667,3.108333333,NB                                          ,806,30682,11250,2780,2770,8540,50,52,183.7908734,,,,,9.876951869,,0.332179434,18.5,18,80,85,0.5,1.6,1.05,0.5,1.5,1,4.8,0.1,4.8,0.1,2.45
3/6/09,2009,20093,3,2,,200932,0,S,81,68,68,2.518,7360,155.0857143,,,,,,,,,,,,,,,,7.3,6.8,6.6,0,2.108333333,2.75,JR,885,29310,11250,,,,53,56,,,,,,9.752819307,,0.329595816,18.5,18,120,124,0.6,1.7,1.15,0.5,1.6,1.05,4.8,0.1,4.8,0.1,2.45
3/7/09,2009,20093,3,2,,200932,0,S,80,68,68,2.455,6720,145.0536585,,,,,,,,,,,,,,,,7.4,6.8,6.7,0,2.283333333,2.609090909,JR,911,28315,11250,,,,54,55,,,,,,9.836104401,,0.327012198,18.5,18,120,124,0.5,1.4,0.95,0.5,1.5,1,4.8,0.1,4.8,0.1,2.45
